Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity_Jumping,Activity_Walking,Prediction,Activity
28.01238387,-1.0849132481259498,0.8652102834055876,-0.6176112206036124,12.644,0,1,1,Jumping
28.02244687,-1.0841502255401803,0.9211297977215634,-0.6158202198651731,12.985,0,1,1,Jumping
28.03250888,-1.0893642132096049,0.9652030367952028,-0.6134921381219387,13.293,0,1,1,Jumping
28.04257187,-1.0919076218288364,1.0218868269332648,-0.6105765555244793,13.677,0,1,1,Jumping
28.05263487,-1.1627415518744346,1.0947477886388186,-0.6073979128430387,14.482,0,1,1,Jumping
28.06269787,-1.2749058719825455,1.1720670259732093,-0.6038729077176893,15.526,0,1,1,Jumping
28.07276087,-1.3891049189860412,1.26543605557141,-0.5998305510938435,16.687,0,1,1,Jumping
28.08282288,-1.5455245490687808,1.331800672789231,-0.595652280093274,17.882,0,1,1,Jumping
373.523,-0.15300833003951542,-0.4944364040858159,-0.5838803413351111,5.64,1,0,1,Jumping
373.533,-0.17297408770048298,-0.16286807660407301,-0.5697101714779855,6.81,1,0,1,Jumping
373.543,-0.18734434639914113,0.2070414212856624,-0.5531987668734264,8.883,1,0,1,Jumping
373.553,-0.19993421906433723,0.660511742390159,-0.5344951949023564,11.832,1,0,1,Jumping
373.563,-0.20909049009357072,1.215503368528443,-0.512935228852723,15.974,1,0,1,Jumping
373.573,-0.17742505278413814,1.8629723691391609,-0.48694708472273784,21.313,1,0,1,Jumping
373.583,-0.1327882315166247,2.5115877834830083,-0.45572623708889143,26.805,1,0,1,Jumping
373.593,-0.03906362389794264,3.025690653139679,-0.41865668692119423,31.51,1,0,1,Jumping
373.603,0.0897600226661346,3.3944537372962853,-0.3771633430078783,34.942,1,0,1,Jumping
373.613,0.1499116365109604,3.762325166327124,-0.3325615057688502,38.094,1,0,1,Jumping
373.623,0.09459249904267453,4.079881770403953,-0.28427463518671736,41.012,1,0,1,Jumping
373.633,-0.047202531479483556,4.198089764219957,-0.23253290883496366,42.514,1,0,1,Jumping
373.643,-0.17017633821932826,4.081537701351807,-0.17780106619528924,42.423,1,0,1,Jumping
373.653,-0.24444386990088907,3.8372241968915746,-0.12229319630786994,41.002,1,0,1,Jumping
373.663,-0.31006381227706276,3.4843835256950983,-0.06705057867179842,38.645,1,0,1,Jumping
373.672,-0.3927245924020876,3.072056719679577,-0.013022421756773957,35.718,1,0,1,Jumping
373.682,-0.487848074761347,2.6913199809769535,0.03804192487872791,32.561,1,0,1,Jumping
373.692,-0.5399879514555934,2.348542274771279,0.08467809343387801,29.242,1,0,1,Jumping
373.702,-0.5406238036104013,2.0474176008693044,0.1253186842416214,25.672,1,0,1,Jumping
373.712,-0.48695788174461596,1.7613236848016924,0.15923151340154296,21.93,1,0,1,Jumping
373.722,-0.4156152699751714,1.4423659083843727,0.18648673026937151,17.979,1,0,1,Jumping
373.732,-0.3530474179420756,1.0920728232615171,0.20830756423561958,14.174,1,0,1,Jumping
373.742,-0.30383246115994544,0.700126705834962,0.2252310963050828,10.304,1,0,1,Jumping
