"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.231895125E0,-7.549550629E0,1.305585022E0,-2.249821472E-1,7.664912518E0
2.241958125E0,-8.356073456E0,1.163829803E0,-1.715432739E-1,8.438476788E0
2.252020125E0,-8.734636230E0,1.063238983E0,-5.987548828E-4,8.799110613E0
2.262083125E0,-9.476343842E0,1.071920929E0,1.916015625E-1,9.538701077E0
2.272145125E0,-1.028526169E1,1.034049683E0,1.746867371E-1,1.033858705E1
2.282208125E0,-1.060215271E1,1.125060425E0,9.729766846E-3,1.066168362E1
2.292270125E0,-1.057326279E1,1.324745178E0,-2.125579834E-1,1.065804938E1
2.302333125E0,-1.060709244E1,1.456920319E0,-5.474116516E-1,1.072066632E1
2.312395125E0,-1.084210373E1,1.338217163E0,-8.247848511E-1,1.095546934E1
2.322458125E0,-1.116079102E1,1.103056183E0,-1.012793884E0,1.126080550E1
2.332520125E0,-1.170041885E1,7.309300232E-1,-1.017134857E0,1.176726916E1
2.342583125E0,-1.206670715E1,4.285588074E-1,-7.791297913E-1,1.209942674E1
2.352645125E0,-1.229034210E1,4.640350342E-1,-3.824546814E-1,1.230504405E1
2.362708125E0,-1.242251724E1,7.750881958E-1,5.927673340E-2,1.244681526E1
2.372770125E0,-1.242655884E1,1.214125214E0,4.816983032E-1,1.249501892E1
2.382833125E0,-1.230471222E1,1.727707214E0,6.526428223E-1,1.244254225E1
2.392895125E0,-1.242730728E1,1.858086090E0,5.029541016E-1,1.257550846E1
2.402958125E0,-1.267923340E1,1.405427399E0,8.996292114E-2,1.275720499E1
2.413020125E0,-1.288011566E1,7.300318909E-1,-2.848576355E-1,1.290393234E1
2.423083125E0,-1.292023224E1,2.383044434E-1,-4.718188477E-1,1.293104030E1
2.433145125E0,-1.274225235E1,6.002517700E-2,-3.755690002E-1,1.274792728E1
2.443208125E0,-1.262833923E1,7.843688965E-2,-5.837860107E-2,1.262871776E1
2.453270125E0,-1.253792725E1,2.118095398E-1,2.740800476E-1,1.254271114E1
2.463333125E0,-1.228106140E1,3.388952637E-1,5.944139099E-1,1.230010760E1
2.473395125E0,-1.182915115E1,4.471202087E-1,8.074209595E-1,1.186510270E1
2.483458125E0,-1.128039230E1,6.575825500E-1,8.810678101E-1,1.133384074E1
2.493520125E0,-1.096634537E1,9.527687073E-1,8.292755127E-1,1.103884943E1
2.503583125E0,-1.093042007E1,1.188827820E0,6.062393188E-1,1.101158121E1
2.513645125E0,-1.087757996E1,1.152603149E0,3.974235535E-1,1.094569254E1
2.523708125E0,-1.083985840E1,8.961863708E-1,2.576142883E-1,1.087989178E1
2.533770125E0,-1.080872314E1,6.225553894E-1,3.353027344E-1,1.083182806E1
2.543833125E0,-1.074824890E1,4.878355408E-1,5.530998230E-1,1.077352112E1
2.553895125E0,-1.063568298E1,5.433700562E-1,7.201524353E-1,1.067387573E1
2.563958125E0,-1.047327072E1,6.506968689E-1,8.846603394E-1,1.053068991E1
2.574020125E0,-1.022538620E1,7.209008789E-1,1.041983185E0,1.030358918E1
2.584083125E0,-9.943672028E0,8.367599487E-1,1.132095795E0,1.004282936E1
2.594145125E0,-9.724378052E0,1.012344818E0,1.098715210E0,9.838472729E0
2.604208125E0,-9.630223846E0,1.207389221E0,1.005608826E0,9.757573939E0
2.614270125E0,-9.655072174E0,1.350641327E0,9.045689392E-1,9.790959894E0
2.624333125E0,-9.671537933E0,1.376687164E0,8.547225952E-1,9.806348161E0
2.634395125E0,-9.561067657E0,1.387614441E0,9.226812744E-1,9.705195996E0
2.644458125E0,-9.504485321E0,1.400936737E0,1.018931122E0,9.661060273E0
2.654520125E0,-9.604776764E0,1.439107361E0,1.133592682E0,9.777924066E0
2.664583125E0,-9.727671204E0,1.517244873E0,1.178648987E0,9.915585332E0
2.674645125E0,-9.944719849E0,1.557361450E0,1.189127197E0,1.013591886E1
2.684708125E0,-1.009755203E1,1.601519623E0,1.234333191E0,1.029800954E1
2.694770750E0,-1.009096573E1,1.750759277E0,1.239123230E0,1.031640314E1
2.704833750E0,-1.001686981E1,1.963167572E0,1.232536926E0,1.028157843E1
2.714895750E0,-9.730365601E0,2.097588043E0,1.314566345E0,1.004031747E1
2.724958750E0,-9.442065125E0,2.202370148E0,1.457070007E0,9.804390909E0
2.735020750E0,-9.421557770E0,2.252216492E0,1.529070282E0,9.806950895E0
2.745083750E0,-9.530231781E0,2.115401001E0,1.580413513E0,9.889284406E0
2.755145750E0,-9.903705139E0,1.967209167E0,1.641187134E0,1.022970100E1
2.765208750E0,-1.052461395E1,1.933828583E0,1.811981964E0,1.085313183E1
2.775270750E0,-1.115450409E1,1.944456482E0,2.088906097E0,1.151379178E1
2.785333750E0,-1.167527115E1,1.938768311E0,2.454146576E0,1.208691914E1
2.795395750E0,-1.233764374E1,2.119592285E0,2.644850006E0,1.279473939E1
2.805458750E0,-1.282338364E1,2.300266571E0,2.719844055E0,1.330894233E1
2.815520750E0,-1.313817902E1,2.390528870E0,2.789449310E0,1.364211874E1
2.825583750E0,-1.327903610E1,2.437680817E0,2.869682465E0,1.380254198E1
2.835645750E0,-1.337378906E1,2.457739105E0,2.815046082E0,1.388607935E1
2.845708750E0,-1.352317841E1,2.365530853E0,2.627037048E0,1.397760402E1
2.855770750E0,-1.391715912E1,2.144440613E0,2.357597351E0,1.427740203E1
2.865833750E0,-1.450693268E1,1.757794647E0,1.975292358E0,1.474593902E1
2.875895750E0,-1.485630615E1,1.510059814E0,1.726360016E0,1.503231293E1
2.885957750E0,-1.497111740E1,1.544188843E0,1.736538849E0,1.515039414E1
2.896020750E0,-1.473356140E1,1.804796906E0,1.863325195E0,1.496018396E1
2.906083750E0,-1.410067749E1,2.267335052E0,2.117496643E0,1.443792596E1
2.916145750E0,-1.345911163E1,2.698588257E0,2.283501434E0,1.391561868E1
2.926208750E0,-1.249556534E1,2.880460052E0,2.227517853E0,1.301530019E1
2.936270750E0,-1.167003204E1,2.896027679E0,2.035167847E0,1.219502080E1
2.946332750E0,-1.122201370E1,2.724334717E0,1.704355774E0,1.167306386E1
2.956395750E0,-1.109328140E1,2.606080627E0,1.343755646E0,1.147424192E1
2.966457750E0,-1.170176605E1,2.399809570E0,9.364526367E-1,1.198195970E1
2.976520750E0,-1.259196487E1,2.170037384E0,8.449928284E-1,1.280549314E1
2.986582750E0,-1.339594299E1,1.933978271E0,1.074315948E0,1.357739722E1
2.996645750E0,-1.421713531E1,1.675166473E0,1.212328949E0,1.436672756E1
3.006708750E0,-1.469509140E1,1.379082184E0,1.358275452E0,1.482202723E1
3.016770750E0,-1.465841766E1,1.087787933E0,1.441203003E0,1.476920977E1
3.026833750E0,-1.433973038E1,8.583151245E-1,1.331780548E0,1.442699593E1
3.036895750E0,-1.379621063E1,6.081852722E-1,1.182540894E0,1.386014863E1
3.046958750E0,-1.323652451E1,3.333567810E-1,1.045725403E0,1.328195202E1
3.057020750E0,-1.292023224E1,1.770817566E-1,1.026864624E0,1.296218384E1
3.067082750E0,-1.281051041E1,1.046324158E-1,1.100511475E0,1.285812002E1
3.077145750E0,-1.280018188E1,3.637435913E-2,1.234632568E0,1.285963829E1
3.087208750E0,-1.263821869E1,-1.052311707E-1,1.363664246E0,1.271201107E1
3.097270750E0,-1.222732315E1,-3.209326172E-1,1.470541992E0,1.231961537E1
3.107333750E0,-1.166539169E1,-5.364843750E-1,1.515448608E0,1.177564280E1
3.117395750E0,-1.094613739E1,-6.789880371E-1,1.512754211E0,1.107101503E1
3.127457750E0,-1.017718643E1,-7.685018921E-1,1.465602264E0,1.031085393E1
