"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.475493625E0,-6.544390869E-1,6.733447723E0,6.771917725E0,9.572172085E0
1.485453625E0,-7.798782349E-1,6.832990723E0,6.839577026E0,9.699370401E0
1.495412625E0,-8.409512329E-1,6.880891113E0,6.970704346E0,9.830797555E0
1.505371625E0,-7.867639160E-1,6.882837067E0,7.152276764E0,9.957284090E0
1.515330625E0,-6.938072205E-1,6.847061462E0,7.292535095E0,1.002719738E1
1.525290625E0,-5.998027039E-1,6.763684845E0,7.379803619E0,1.002839456E1
1.535249625E0,-4.408332825E-1,6.608457642E0,7.456294556E0,9.973082517E0
1.545208625E0,-2.930905151E-1,6.478827209E0,7.544461212E0,9.948869234E0
1.555167625E0,-1.692979431E-1,6.407276001E0,7.635621643E0,9.969180780E0
1.565126625E0,-7.903564453E-2,6.344107361E0,7.685917053E0,9.966306527E0
1.575086625E0,-7.813751221E-2,6.306535492E0,7.789801025E0,1.002294844E1
1.585045250E0,-9.145980835E-2,6.293213196E0,7.884254608E0,1.008832830E1
1.595004250E0,-1.257385254E-1,6.300697632E0,7.848928070E0,1.006579717E1
1.604963250E0,-2.189945984E-1,6.411317596E0,7.739804993E0,1.005273760E1
1.614923250E0,-3.677851868E-1,6.595285034E0,7.631280670E0,1.009304192E1
1.624882250E0,-4.834945679E-1,6.736740875E0,7.590265961E0,1.016019596E1
1.634841250E0,-5.457650757E-1,6.811734924E0,7.600145416E0,1.022055784E1
1.644800250E0,-5.313949585E-1,6.802005157E0,7.622748413E0,1.023014898E1
1.654760250E0,-4.528083801E-1,6.693630524E0,7.648943939E0,1.017428466E1
1.664719250E0,-3.948788452E-1,6.568640442E0,7.636220398E0,1.008041807E1
1.674678250E0,-3.992198181E-1,6.513405304E0,7.615263977E0,1.002876216E1
1.684637250E0,-4.498146057E-1,6.506519623E0,7.634424133E0,1.004099411E1
1.694596250E0,-5.292993164E-1,6.530769196E0,7.694449310E0,1.010621859E1
1.704556250E0,-5.995033264E-1,6.564149780E0,7.789501648E0,1.020410714E1
1.714515250E0,-5.807922363E-1,6.596632233E0,7.881260834E0,1.029403462E1
1.724474250E0,-5.605842590E-1,6.589447174E0,7.952812042E0,1.034322426E1
1.734433250E0,-5.411247253E-1,6.572981415E0,7.912545776E0,1.030074178E1
1.744393250E0,-4.930746460E-1,6.570436707E0,7.789052582E0,1.020211259E1
1.754352250E0,-4.288581848E-1,6.545438690E0,7.560477905E0,1.000937127E1
1.764311250E0,-4.287084961E-1,6.556066589E0,7.289691010E0,9.813531225E0
1.774270250E0,-4.114942932E-1,6.634802856E0,7.021149445E0,9.668840469E0
1.784229250E0,-3.700305176E-1,6.729106750E0,6.809339905E0,9.580444154E0
1.794189250E0,-3.475772095E-1,6.825356598E0,6.636748810E0,9.526423115E0
1.804148250E0,-3.733236694E-1,6.929989014E0,6.464457092E0,9.484372609E0
1.814107250E0,-4.108955383E-1,7.050638123E0,6.352639618E0,9.499282246E0
1.824066250E0,-3.984713745E-1,7.142696686E0,6.282285919E0,9.520714876E0
1.834025250E0,-4.010160828E-1,7.176376648E0,6.258784790E0,9.530665388E0
1.843985250E0,-3.302133179E-1,7.177723846E0,6.293213196E0,9.551612051E0
1.853944250E0,-1.543290710E-1,7.122788086E0,6.362818451E0,9.552140400E0
1.863903250E0,1.047821045E-3,7.053931274E0,6.420448608E0,9.538349325E0
1.873862250E0,9.190887451E-2,6.997199249E0,6.480623474E0,9.537700204E0
1.883822250E0,1.074765015E-1,6.941964111E0,6.588399353E0,9.571281155E0
1.893781250E0,6.691085815E-2,6.886579285E0,6.706653442E0,9.612941886E0
1.903740250E0,-1.661544800E-2,6.830895081E0,6.923402710E0,9.725991402E0
1.913699250E0,-7.484436035E-2,6.780899048E0,7.220085754E0,9.905343602E0
1.923658250E0,-1.046324158E-1,6.730453949E0,7.493866425E0,1.007313220E1
1.933618250E0,-1.851649475E-1,6.709796906E0,7.685318298E0,1.020390993E1
1.943577250E0,-3.276686096E-1,6.698270874E0,7.815397797E0,1.029828346E1
1.953536250E0,-4.616400146E-1,6.692283325E0,7.850125580E0,1.032590138E1
1.963495250E0,-6.436614990E-1,6.721472626E0,7.783364410E0,1.030404076E1
1.973455250E0,-8.372090149E-1,6.803951111E0,7.740852814E0,1.033999381E1
1.983414250E0,-9.946815491E-1,6.912475433E0,7.737110596E0,1.042279177E1
1.993373250E0,-1.085093536E0,6.995402985E0,7.728428650E0,1.048053912E1
2.003332250E0,-1.123114471E0,7.060667267E0,7.706125031E0,1.051183958E1
2.013292250E0,-1.079405365E0,7.071744232E0,7.705077209E0,1.051393824E1
2.023251250E0,-9.104067993E-1,7.048542480E0,7.629484406E0,1.042687988E1
2.033210250E0,-6.984475708E-1,7.001390533E0,7.440427551E0,1.024047170E1
2.043169250E0,-5.456153870E-1,6.943161621E0,7.165449371E0,9.992439849E0
2.053128250E0,-4.954696655E-1,6.901847534E0,6.832990723E0,9.724749446E0
2.063088250E0,-4.388873291E-1,6.887178040E0,6.595584412E0,9.546076533E0
2.073047250E0,-3.197351074E-1,6.894961853E0,6.470744019E0,9.461144627E0
2.083006250E0,-1.992356873E-1,6.911876678E0,6.402935028E0,9.423975332E0
2.092965250E0,-1.758842468E-1,6.960226135E0,6.354136505E0,9.426066722E0
2.102924250E0,-2.025288391E-1,7.008126526E0,6.304439850E0,9.428722986E0
2.112884250E0,-2.471360779E-1,7.042854309E0,6.262976074E0,9.428029612E0
2.122843250E0,-3.318598938E-1,7.090605011E0,6.221961365E0,9.439259168E0
2.132802250E0,-3.614982605E-1,7.122937775E0,6.191873932E0,9.444904781E0
2.142761250E0,-3.297642517E-1,7.132068787E0,6.192472687E0,9.451024686E0
2.152721250E0,-2.362088013E-1,7.100484467E0,6.199657745E0,9.429126705E0
2.162680250E0,-2.146536255E-1,7.046446838E0,6.214626617E0,9.397875995E0
2.172639250E0,-2.432441711E-1,6.970404968E0,6.181246033E0,9.319523360E0
2.182598250E0,-2.999761963E-1,6.908134460E0,6.184539185E0,9.276897777E0
2.192558250E0,-3.793112183E-1,6.894961853E0,6.277645569E0,9.332374288E0
2.202517250E0,-4.715194702E-1,6.946754150E0,6.399192810E0,9.456711503E0
2.212476250E0,-5.912704468E-1,7.012317810E0,6.491550751E0,9.574049977E0
2.222435250E0,-7.484436035E-1,7.062164154E0,6.581214294E0,9.682288570E0
2.232394250E0,-8.565188599E-1,7.072492676E0,6.648424530E0,9.744502344E0
2.242354250E0,-8.469387817E-1,7.013964386E0,6.766079865E0,9.782271640E0
2.252313250E0,-7.125183105E-1,6.927743683E0,6.942862244E0,9.833852298E0
2.262272250E0,-6.271957397E-1,6.866071930E0,7.089557190E0,9.889294181E0
2.272231250E0,-6.207591248E-1,6.854994965E0,7.107220459E0,9.893880963E0
2.282191250E0,-6.607260132E-1,6.861880646E0,7.058122559E0,9.866055894E0
2.292150250E0,-6.894662476E-1,6.868616638E0,7.041058044E0,9.860515028E0
2.302109250E0,-6.433621216E-1,6.894363098E0,7.011569366E0,9.854352456E0
2.312068250E0,-6.113287354E-1,6.927144928E0,6.925198975E0,9.814144920E0
2.322027250E0,-5.866300964E-1,6.942862244E0,6.877597961E0,9.790241301E0
2.331987250E0,-5.269042969E-1,6.940467224E0,6.903194733E0,9.803153112E0
2.341946250E0,-4.249662781E-1,6.932384033E0,7.043003998E0,9.891534261E0
2.351905250E0,-3.350033569E-1,6.907685394E0,7.274273071E0,1.003710085E1
2.361864250E0,-2.134561157E-1,6.874753876E0,7.463778992E0,1.014967000E1
2.371824250E0,-1.269360352E-1,6.808741150E0,7.592511292E0,1.019908312E1
2.381783250E0,-1.160087585E-1,6.731052704E0,7.684420166E0,1.021620486E1
2.391742250E0,-1.416055298E-1,6.659651184E0,7.697143707E0,1.017924493E1
2.401701250E0,-1.610650635E-1,6.609804840E0,7.657326508E0,1.011682318E1
2.411660250E0,-1.746867371E-1,6.590794373E0,7.572303314E0,1.004036172E1
2.421620250E0,-1.950444031E-1,6.597829742E0,7.499105530E0,9.990294459E0
2.431579250E0,-2.050735474E-1,6.677164764E0,7.454797668E0,1.001002461E1
2.441538250E0,-1.721420288E-1,6.805597687E0,7.422764282E0,1.007190262E1
2.451497250E0,-1.318757629E-1,6.902745667E0,7.417375488E0,1.013324963E1
2.461457250E0,-1.258882141E-1,6.965764618E0,7.419471130E0,1.017773435E1
2.471416250E0,-1.642085266E-1,6.992409210E0,7.437433777E0,1.020961176E1
2.481375250E0,-1.927990723E-1,6.965315552E0,7.485633545E0,1.022680311E1
2.491334250E0,-1.796264648E-1,6.905739441E0,7.511679382E0,1.020523542E1
2.501294250E0,-1.610650635E-1,6.816524963E0,7.518115997E0,1.014953313E1
2.511253250E0,-1.686991882E-1,6.730903015E0,7.434739380E0,1.003039702E1
2.521212250E0,-1.779798889E-1,6.622827759E0,7.357949066E0,9.901158459E0
2.531171250E0,-1.719923401E-1,6.531068573E0,7.334298248E0,9.822238485E0
2.541130250E0,-1.420545959E-1,6.483467560E0,7.339088287E0,9.793760667E0
2.551090250E0,-1.020877075E-1,6.468648376E0,7.362589417E0,9.801099767E0
