"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.378666625e0,9.276958466e0,1.707948303e-1,3.920497284e0,1.007280637e1
2.388665625e0,9.582772522e0,1.950444031e-1,4.180207214e0,1.045665835e1
2.398664625e0,9.823322296e0,1.655557251e-1,4.371359711e0,1.075331834e1
2.408663625e0,9.983040161e0,1.561253357e-1,4.592599640e0,1.098987886e1
2.418662625e0,1.000534378e1,1.230441284e-1,4.727020111e0,1.106647022e1
2.428661625e0,9.902657318e0,-2.844085693e-3,4.757855988e0,1.098634715e1
2.438660625e0,9.683363342e0,-3.897894287e-1,4.802762604e0,1.081600620e1
2.448659625e0,9.477092285e0,-7.252418518e-1,4.788392487e0,1.064283593e1
2.458658625e0,9.443112946e0,-9.602531433e-1,4.759652252e0,1.061832180e1
2.468657625e0,9.695937195e0,-1.175056458e0,4.821773071e0,1.089226566e1
2.478656625e0,1.019110748e1,-1.401236115e0,4.910987549e0,1.139911984e1
2.488655625e0,1.061727127e1,-1.601669312e0,4.960534515e0,1.182787794e1
2.498654625e0,1.056353302e1,-1.722019043e0,4.897066498e0,1.177008240e1
2.508653625e0,1.011087433e1,-1.767524414e0,4.694238281e0,1.128670879e1
2.518652625e0,9.455986176e0,-1.715881805e0,4.368066559e0,1.055651128e1
2.528651625e0,8.698411560e0,-1.490001526e0,4.161645813e0,9.757139134e0
2.538650625e0,8.005352783e0,-1.228794708e0,3.963308258e0,9.016841019e0
2.548649625e0,7.422913971e0,-1.103954315e0,3.727249146e0,8.379185709e0
2.558648625e0,6.995103607e0,-1.003962250e0,3.697012024e0,7.975419273e0
2.568647625e0,6.803352356e0,-9.964778137e-1,3.747457123e0,7.830836877e0
2.578646625e0,6.919660492e0,-1.069825287e0,3.689677277e0,7.914540156e0
2.588646625e0,7.114255829e0,-1.198258209e0,3.722010040e0,8.117993439e0
2.598645625e0,7.197782135e0,-1.331780548e0,3.808530121e0,8.251461008e0
2.608644625e0,7.247029724e0,-1.380130005e0,4.036206665e0,8.409230815e0
2.618643625e0,7.359296265e0,-1.342707825e0,4.271667023e0,8.614478798e0
2.628642625e0,7.587721252e0,-1.278042297e0,4.374802551e0,8.851316472e0
2.638641625e0,7.948321381e0,-1.222657471e0,4.390519867e0,9.162279671e0
2.648640625e0,8.320896606e0,-1.250948639e0,4.351750488e0,9.473115915e0
2.658639625e0,8.709787903e0,-1.306632843e0,4.195325775e0,9.755431977e0
2.668638625e0,9.051676941e0,-1.313219147e0,4.078718262e0,1.001465639e1
2.678637625e0,9.226962433e0,-1.226250000e0,4.016747131e0,1.013778981e1
2.688636625e0,9.221573639e0,-1.071621552e0,3.975283356e0,1.009894405e1
2.698635625e0,9.138496399e0,-9.231303406e-1,3.900588684e0,9.978921692e0
2.708634625e0,9.054371338e0,-7.201524353e-1,3.786076813e0,9.840459211e0
2.718633625e0,8.959319000e0,-4.799020386e-1,3.722908173e0,9.713894594e0
2.728632625e0,8.925339661e0,-2.269281006e-1,3.805236969e0,9.705308486e0
2.738631625e0,9.015452271e0,2.903961182e-2,3.996988220e0,9.861801954e0
2.748630625e0,9.197174377e0,1.255888367e-1,4.143832855e0,1.008836656e1
2.758629625e0,9.283095703e0,1.426533508e-1,4.194876709e0,1.018789509e1
2.768628625e0,9.210047607e0,1.630110168e-1,4.336631927e0,1.018125366e1
2.778627625e0,8.964258728e0,1.402583313e-1,4.514761505e0,1.003796186e1
2.788626625e0,8.707991638e0,5.209167480e-2,4.740043030e0,9.914627569e0
2.798625625e0,8.547525330e0,6.331832886e-2,5.130730591e0,9.969382873e0
2.808624625e0,8.654253387e0,2.441423035e-1,5.726192322e0,1.038002821e1
2.818623625e0,9.034313049e0,5.188211060e-1,6.327342224e0,1.104188604e1
2.828622625e0,9.386081543e0,6.167175293e-1,6.133944397e0,1.122961002e1
2.838621625e0,9.393266602e0,5.607339478e-1,5.646857300e0,1.097428254e1
2.848620625e0,9.190588074e0,7.258406067e-1,5.590724030e0,1.078192696e1
2.858619625e0,8.855435028e0,9.592053223e-1,5.288801880e0,1.035906510e1
2.868618625e0,8.391699371e0,1.167721710e0,4.950205994e0,9.812682187e0
2.878617625e0,7.894583130e0,1.334025879e0,4.764142914e0,9.316712164e0
2.888616625e0,7.380701752e0,1.484612732e0,4.693040771e0,8.871497337e0
2.898615625e0,6.864275665e0,1.652264099e0,4.729265442e0,8.497894368e0
2.908614625e0,6.566694489e0,1.781894531e0,4.926854553e0,8.400626192e0
2.918613625e0,6.826254730e0,1.787882080e0,5.276377716e0,8.811040675e0
2.928613625e0,7.336094513e0,1.642684021e0,5.404810638e0,9.258977888e0
2.938612625e0,7.752977600e0,1.445394287e0,5.515131226e0,9.623642696e0
2.948611625e0,7.989036713e0,1.156644745e0,5.412295074e0,9.718820537e0
2.958610625e0,7.987539825e0,8.414002991e-1,5.244643707e0,9.592446744e0
2.968609625e0,7.686665497e0,6.533912659e-1,4.985532532e0,9.185166369e0
2.978608625e0,7.186705170e0,5.782475281e-1,4.759801941e0,8.639375899e0
2.988607625e0,6.670129395e0,5.981561279e-1,4.712350616e0,8.188691301e0
2.998606625e0,6.478527832e0,8.205935669e-1,4.806504822e0,8.108463805e0
3.008605625e0,6.527326355e0,1.193468170e0,5.051545258e0,8.339572238e0
3.018604625e0,6.847809906e0,1.447190552e0,5.385351105e0,8.831130591e0
3.028603625e0,7.276368713e0,1.579665070e0,5.569617920e0,9.298469076e0
3.038602625e0,7.624844055e0,1.648372192e0,5.702092438e0,9.662775787e0
