Total Sec,Difference in time(sec),Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
192.000,0,192.00,0.15,4.70,7.82,9.13
192.000,0,192.00,0.37,4.62,8.24,9.45
192.000,0,192.00,0.65,4.47,8.57,9.68
192.000,0,192.00,0.94,4.33,8.89,9.93
192.000,0,192.00,1.19,4.22,9.29,10.30
192.000,0,192.00,1.39,4.19,9.69,10.60
192.000,0,192.00,1.57,4.25,9.98,11.00
192.000,0,192.00,1.76,4.34,10.20,11.20
192.000,0,192.00,1.93,4.31,10.40,11.40
192.000,0,192.00,2.02,4.27,10.50,11.50
192.000,0,192.00,1.93,4.43,10.50,11.60
192.000,0,192.00,1.74,4.72,10.80,12.00
192.000,0,192.00,1.66,4.77,11.30,12.40
192.000,0,192.00,1.77,4.55,11.90,12.80
192.000,0,192.00,2.00,4.14,12.20,13.10
192.000,0,192.00,2.24,3.68,12.30,13.00
192.000,0,192.00,2.32,3.27,12.10,12.70
192.000,0,192.00,2.24,2.89,11.70,12.30
192.000,0,192.00,2.00,2.65,11.20,11.70
192.000,0,192.00,1.59,2.60,10.60,11.00
192.000,0,192.00,1.05,2.78,10.30,10.70
192.000,0,192.00,0.48,3.18,10.00,10.50
192.000,0,192.00,0.08,3.68,9.91,10.60
192.000,0,192.00,-0.26,4.07,9.61,10.40
192.000,0,192.00,0.10,4.10,9.44,10.30
192.000,0,192.00,0.74,3.44,9.91,10.50
192.000,0,192.00,0.97,3.30,9.33,9.94
192.000,0,192.00,1.36,3.44,9.13,9.85
192.000,0,192.00,1.52,3.34,9.08,9.79
192.000,0,192.00,1.58,3.30,8.58,9.33
192.000,0,192.00,1.50,3.21,8.23,8.96
192.000,0,192.00,1.33,3.23,7.91,8.65
192.000,0,192.00,1.18,3.34,7.52,8.31
192.000,0,192.00,0.99,3.38,7.30,8.10
192.000,0,192.00,0.60,3.53,6.93,7.80
192.000,0,192.00,0.57,3.72,6.61,7.61
192.000,0,192.00,0.79,3.43,7.07,7.90
192.000,0,192.00,0.50,3.46,6.75,7.61
192.000,0,192.00,0.32,3.80,6.54,7.57
192.000,0,192.00,-0.07,3.90,6.64,7.70
193.000,1,193.00,-0.43,3.93,6.58,7.68
193.000,0,193.00,-0.57,3.91,6.56,7.66
193.000,0,193.00,-0.58,3.83,6.57,7.62
193.000,0,193.00,-0.58,3.78,6.56,7.59
193.000,0,193.00,-0.59,3.83,6.66,7.70
193.000,0,193.00,-0.59,3.94,6.80,7.88
193.000,0,193.00,-0.60,4.07,7.08,8.19
193.000,0,193.00,-0.55,4.16,7.56,8.65
193.000,0,193.00,-0.39,4.13,8.10,9.10
193.000,0,193.00,-0.20,3.97,8.73,9.59
193.000,0,193.00,-0.01,3.79,9.38,10.10
193.000,0,193.00,0.09,3.68,10.00,10.70
193.000,0,193.00,0.12,3.66,10.50,11.20
193.000,0,193.00,0.12,3.64,10.90,11.50
193.000,0,193.00,0.15,3.59,11.10,11.70
193.000,0,193.00,0.15,3.55,11.10,11.70
193.000,0,193.00,0.09,3.57,11.10,11.70
193.000,0,193.00,0.00,3.66,11.10,11.70
193.000,0,193.00,-0.10,3.79,11.20,11.80
193.000,0,193.00,-0.14,3.92,11.30,12.00
193.000,0,193.00,-0.10,4.00,11.40,12.10
193.000,0,193.00,-0.09,4.07,11.30,12.00
193.000,0,193.00,-0.26,4.22,11.30,12.00
193.000,0,193.00,-0.43,4.38,11.80,12.60
193.000,0,193.00,-0.27,4.40,12.70,13.40
193.000,0,193.00,0.26,4.14,13.60,14.20
193.000,0,193.00,0.86,3.56,13.90,14.40
193.000,0,193.00,1.34,2.81,14.00,14.40
193.000,0,193.00,1.58,2.17,13.80,14.10
193.000,0,193.00,1.41,1.65,13.20,13.30
193.000,0,193.00,1.02,1.36,12.50,12.70
193.000,0,193.00,0.45,1.39,11.80,11.90
193.000,0,193.00,-0.13,1.68,11.20,11.30
193.000,0,193.00,-0.69,1.98,10.70,10.90
193.000,0,193.00,-1.24,2.29,9.91,10.30
193.000,0,193.00,-1.60,2.65,9.26,9.76
193.000,0,193.00,-1.71,2.92,8.73,9.37
193.000,0,193.00,-1.65,2.99,8.33,9.00
193.000,0,193.00,-1.46,2.89,8.13,8.75
193.000,0,193.00,-1.21,2.72,8.10,8.63
193.000,0,193.00,-0.92,2.54,8.21,8.65
193.000,0,193.00,-0.58,2.43,8.37,8.74
193.000,0,193.00,-0.18,2.30,8.55,8.85
193.000,0,193.00,0.24,2.10,8.70,8.95
193.000,0,193.00,0.57,1.97,8.75,8.98
193.000,0,193.00,0.85,1.97,8.75,9.01
193.000,0,193.00,1.00,2.01,8.67,8.95
193.000,0,193.00,0.99,2.06,8.50,8.80
193.000,0,193.00,0.92,2.18,8.23,8.57
193.000,0,193.00,0.80,2.33,7.90,8.28
193.000,0,193.00,0.68,2.47,7.55,7.98
193.000,0,193.00,0.56,2.60,7.20,7.68
193.000,0,193.00,0.49,2.73,6.86,7.40
193.000,0,193.00,0.45,2.82,6.59,7.18
193.000,0,193.00,0.42,2.94,6.38,7.03
193.000,0,193.00,0.43,3.05,6.16,6.89
193.000,0,193.00,0.51,3.13,6.05,6.83
193.000,0,193.00,0.51,3.19,5.97,6.79
193.000,0,193.00,0.32,3.42,5.65,6.61
193.000,0,193.00,1.13,3.15,6.36,7.19
193.000,0,193.00,0.75,2.87,6.69,7.32
193.000,0,193.00,0.69,3.43,6.32,7.22
193.000,0,193.00,0.66,3.69,6.98,7.92
193.000,0,193.00,0.69,3.55,7.53,8.36
193.000,0,193.00,0.85,3.36,7.74,8.48
193.000,0,193.00,1.07,3.21,8.16,8.83
193.000,0,193.00,1.18,3.13,8.57,9.20
193.000,0,193.00,1.14,3.20,8.92,9.54
193.000,0,193.00,1.03,3.36,9.25,9.89
193.000,0,193.00,0.78,3.73,9.09,9.86
193.000,0,193.00,1.89,3.28,10.00,10.70
193.000,0,193.00,2.12,2.54,10.60,11.10
193.000,0,193.00,2.23,2.68,10.30,10.90
193.000,0,193.00,2.19,3.06,10.70,11.30
193.000,0,193.00,2.17,3.22,11.00,11.70
193.000,0,193.00,2.12,3.23,11.40,12.00
193.000,0,193.00,2.13,3.20,11.80,12.40
193.000,0,193.00,2.30,3.04,12.10,12.70
193.000,0,193.00,2.59,2.70,12.40,13.00
193.000,0,193.00,2.92,2.38,12.90,13.40
193.000,0,193.00,3.09,2.17,13.10,13.60
193.000,0,193.00,3.13,2.06,12.90,13.50
193.000,0,193.00,3.16,2.00,12.60,13.20
193.000,0,193.00,3.15,1.94,12.20,12.80
193.000,0,193.00,2.56,2.28,11.40,11.90
193.000,0,193.00,3.01,2.70,10.70,11.50
193.000,0,193.00,3.78,2.03,11.30,12.10
193.000,0,193.00,3.64,1.86,10.10,10.90
193.000,0,193.00,3.93,2.25,9.43,10.50
193.000,0,193.00,3.97,2.32,9.25,10.30
193.000,0,193.00,4.02,2.28,8.70,9.85
193.000,0,193.00,3.96,2.33,8.30,9.49
193.000,0,193.00,3.83,2.32,8.09,9.24
193.000,0,193.00,3.62,2.27,7.93,9.01
193.000,0,193.00,3.27,2.29,7.73,8.70
193.000,0,193.00,2.95,2.32,7.61,8.49
193.000,0,193.00,2.62,2.36,7.46,8.25
193.000,0,193.00,2.25,2.49,7.26,8.00
193.000,0,193.00,1.88,2.68,7.15,7.87
193.000,0,193.00,1.31,2.92,6.91,7.62
194.000,1,194.00,1.02,3.37,6.57,7.45
194.000,0,194.00,1.51,2.88,7.16,7.87
194.000,0,194.00,0.89,2.54,7.22,7.71
194.000,0,194.00,0.77,3.21,6.78,7.55
194.000,0,194.00,0.80,3.37,7.20,7.99
194.000,0,194.00,0.81,3.11,7.24,7.92
194.000,0,194.00,0.52,3.22,6.96,7.69
194.000,0,194.00,0.81,3.42,7.11,7.93
194.000,0,194.00,0.79,3.27,7.54,8.25
194.000,0,194.00,0.31,3.53,7.18,8.01
194.000,0,194.00,0.22,3.94,7.25,8.25
194.000,0,194.00,0.30,4.15,7.73,8.78
194.000,0,194.00,0.34,4.08,8.05,9.03
194.000,0,194.00,0.38,4.10,8.46,9.40
194.000,0,194.00,0.19,4.23,8.84,9.80
194.000,0,194.00,0.05,4.37,9.33,10.30
194.000,0,194.00,0.15,4.06,9.75,10.60
194.000,0,194.00,-0.05,4.06,9.98,10.80
194.000,0,194.00,-0.21,4.26,10.40,11.20
194.000,0,194.00,-0.27,4.17,10.80,11.60
194.000,0,194.00,-0.30,4.01,11.20,11.90
194.000,0,194.00,-0.32,3.96,11.60,12.30
194.000,0,194.00,-0.24,3.83,12.10,12.70
194.000,0,194.00,-0.10,3.59,12.40,13.00
194.000,0,194.00,-0.28,3.65,12.40,12.90
194.000,0,194.00,-0.54,4.18,12.00,12.70
194.000,0,194.00,0.21,3.78,12.90,13.40
194.000,0,194.00,0.12,3.33,12.80,13.20
194.000,0,194.00,2.52,0.69,12.90,13.20
194.000,0,194.00,1.19,5.71,13.70,14.90
194.000,0,194.00,0.59,4.36,12.50,13.20
194.000,0,194.00,0.46,2.18,12.10,12.30
194.000,0,194.00,-0.37,3.05,10.30,10.70
194.000,0,194.00,-0.52,2.66,10.20,10.60
194.000,0,194.00,-0.47,2.24,10.20,10.40
194.000,0,194.00,0.21,2.38,10.00,10.30
194.000,0,194.00,0.16,2.08,10.10,10.30
194.000,0,194.00,-0.43,2.58,8.83,9.20
194.000,0,194.00,0.01,3.27,8.70,9.30
194.000,0,194.00,-0.01,2.47,8.46,8.81
194.000,0,194.00,-0.25,2.24,8.21,8.51
194.000,0,194.00,-0.38,2.69,8.57,8.99
194.000,0,194.00,-0.45,2.99,9.00,9.49
194.000,0,194.00,-0.38,2.74,9.27,9.67
194.000,0,194.00,-0.15,2.39,9.39,9.69
194.000,0,194.00,0.15,2.10,9.31,9.55
194.000,0,194.00,0.55,1.55,9.33,9.47
194.000,0,194.00,0.52,1.61,8.88,9.04
194.000,0,194.00,-0.21,2.23,8.32,8.62
194.000,0,194.00,-0.42,2.23,7.38,7.72
194.000,0,194.00,-0.39,2.69,6.75,7.27
194.000,0,194.00,0.48,2.53,6.07,6.59
194.000,0,194.00,0.68,1.47,5.39,5.63
194.000,0,194.00,0.99,1.32,7.17,7.36
194.000,0,194.00,0.84,1.63,6.87,7.11
194.000,0,194.00,1.96,1.84,7.02,7.52
194.000,0,194.00,8.22,2.24,6.91,11.00
194.000,0,194.00,9.63,3.75,5.44,11.70
194.000,0,194.00,7.85,4.37,5.41,10.50
194.000,0,194.00,4.17,4.40,6.34,8.77
194.000,0,194.00,1.22,4.30,6.59,7.97
194.000,0,194.00,0.55,4.53,6.73,8.13
194.000,0,194.00,0.63,4.58,7.29,8.63
194.000,0,194.00,0.51,4.30,7.41,8.58
194.000,0,194.00,0.36,3.98,7.69,8.67
194.000,0,194.00,0.25,3.89,8.01,8.91
194.000,0,194.00,0.10,3.84,8.88,9.67
194.000,0,194.00,0.09,3.69,9.46,10.10
194.000,0,194.00,0.31,3.72,9.48,10.20
194.000,0,194.00,0.59,3.80,9.67,10.40
194.000,0,194.00,0.91,3.82,9.60,10.40
194.000,0,194.00,0.94,3.87,9.20,10.00
194.000,0,194.00,0.51,4.05,8.69,9.60
194.000,0,194.00,-0.22,4.28,8.89,9.87
194.000,0,194.00,-0.72,4.23,9.46,10.40
194.000,0,194.00,-0.77,4.06,10.20,11.00
194.000,0,194.00,-0.53,3.99,10.90,11.70
194.000,0,194.00,-0.42,3.94,11.50,12.10
194.000,0,194.00,-0.33,4.01,12.40,13.10
194.000,0,194.00,-0.12,4.35,12.90,13.60
194.000,0,194.00,-0.10,4.47,12.00,12.80
194.000,0,194.00,0.01,4.34,11.40,12.20
194.000,0,194.00,0.13,4.09,11.20,11.90
194.000,0,194.00,0.23,3.70,11.50,12.10
194.000,0,194.00,0.16,3.23,12.00,12.40
194.000,0,194.00,-0.18,2.76,12.40,12.70
194.000,0,194.00,-0.81,3.65,10.90,11.60
194.000,0,194.00,-1.26,4.28,10.30,11.20
194.000,0,194.00,-1.37,3.41,11.20,11.80
194.000,0,194.00,-1.35,2.82,11.20,11.60
194.000,0,194.00,-1.50,2.32,11.20,11.50
194.000,0,194.00,-1.80,1.95,11.00,11.30
194.000,0,194.00,-2.09,1.77,10.70,11.00
194.000,0,194.00,-2.40,1.75,10.50,10.90
194.000,0,194.00,-2.60,1.82,10.50,11.00
194.000,0,194.00,-2.65,1.97,10.60,11.10
194.000,0,194.00,-2.69,1.98,10.80,11.30
194.000,0,194.00,-2.93,1.75,11.00,11.50
194.000,0,194.00,-3.19,1.40,10.70,11.30
194.000,0,194.00,-3.24,1.03,10.20,10.70
194.000,0,194.00,-3.28,0.75,9.53,10.10
195.000,1,195.00,-3.21,0.69,8.85,9.44
195.000,0,195.00,-2.94,0.77,8.23,8.78
195.000,0,195.00,-2.69,0.86,7.61,8.12
195.000,0,195.00,-2.44,0.93,7.05,7.52
195.000,0,195.00,-2.28,0.94,6.57,7.02
195.000,0,195.00,-2.15,0.96,6.11,6.54
195.000,0,195.00,-1.99,1.05,5.65,6.08
195.000,0,195.00,-1.79,1.22,4.98,5.43
195.000,0,195.00,-1.65,1.52,4.10,4.68
195.000,0,195.00,-1.58,1.84,3.44,4.21
195.000,0,195.00,-1.54,2.07,3.21,4.12
195.000,0,195.00,-1.45,2.10,3.25,4.14
195.000,0,195.00,-1.39,2.01,3.40,4.19
195.000,0,195.00,-1.39,1.92,3.70,4.39
195.000,0,195.00,-1.43,1.79,4.12,4.72
195.000,0,195.00,-1.57,1.62,4.59,5.12
195.000,0,195.00,-1.87,1.60,5.13,5.69
195.000,0,195.00,-2.29,1.72,5.70,6.38
195.000,0,195.00,-2.76,1.85,6.50,7.30
195.000,0,195.00,-3.34,2.02,7.87,8.79
195.000,0,195.00,-4.16,2.30,10.30,11.30
195.000,0,195.00,-3.86,2.82,8.75,9.97
195.000,0,195.00,-4.41,3.18,8.38,9.99
195.000,0,195.00,-5.48,3.19,10.20,12.00
195.000,0,195.00,-5.53,3.45,9.56,11.60
195.000,0,195.00,-6.02,3.22,9.72,11.90
195.000,0,195.00,-6.82,2.73,10.90,13.20
195.000,0,195.00,-7.15,2.22,11.20,13.50
195.000,0,195.00,-7.61,1.73,11.40,13.80
195.000,0,195.00,-8.04,1.48,11.70,14.30
195.000,0,195.00,-8.10,1.41,13.30,15.60
195.000,0,195.00,-7.72,1.18,14.90,16.80
195.000,0,195.00,-8.21,1.41,14.40,16.70
195.000,0,195.00,-8.17,0.77,16.50,18.40
195.000,0,195.00,-7.19,-0.14,17.10,18.50
195.000,0,195.00,-6.92,-0.68,15.80,17.30
195.000,0,195.00,-6.16,-0.79,14.60,15.90
195.000,0,195.00,-5.35,-0.75,12.70,13.80
195.000,0,195.00,-4.64,-0.48,10.60,11.60
195.000,0,195.00,-4.21,-0.04,8.78,9.73
195.000,0,195.00,-3.99,0.29,7.37,8.38
195.000,0,195.00,-3.88,0.54,6.11,7.26
195.000,0,195.00,-3.83,0.87,5.29,6.59
195.000,0,195.00,-3.78,1.39,5.81,7.07
195.000,0,195.00,-3.84,1.61,6.23,7.50
195.000,0,195.00,-4.22,1.28,6.22,7.63
195.000,0,195.00,-4.38,1.17,7.05,8.38
195.000,0,195.00,-4.40,1.12,7.72,8.96
195.000,0,195.00,-4.34,1.07,8.30,9.42
195.000,0,195.00,-4.31,0.93,8.73,9.78
195.000,0,195.00,-4.24,0.78,8.93,9.92
195.000,0,195.00,-4.06,0.72,8.92,9.83
195.000,0,195.00,-3.80,0.74,8.74,9.57
195.000,0,195.00,-3.55,0.81,8.48,9.22
195.000,0,195.00,-3.29,0.94,8.16,8.85
195.000,0,195.00,-3.01,1.07,7.81,8.44
195.000,0,195.00,-2.73,1.15,7.47,8.03
195.000,0,195.00,-2.41,1.21,7.08,7.58
195.000,0,195.00,-2.10,1.26,6.70,7.13
195.000,0,195.00,-1.86,1.35,6.40,6.80
195.000,0,195.00,-1.67,1.44,6.24,6.62
195.000,0,195.00,-1.57,1.52,6.14,6.52
195.000,0,195.00,-1.52,1.62,6.11,6.50
195.000,0,195.00,-1.50,1.74,6.17,6.58
195.000,0,195.00,-1.51,1.85,6.26,6.70
195.000,0,195.00,-1.52,1.93,6.40,6.85
195.000,0,195.00,-1.59,1.99,6.53,7.01
195.000,0,195.00,-1.69,1.98,6.74,7.23
195.000,0,195.00,-1.82,1.92,7.02,7.51
195.000,0,195.00,-2.06,1.84,7.42,7.92
195.000,0,195.00,-2.34,1.80,7.83,8.37
195.000,0,195.00,-2.63,1.93,8.16,8.79
195.000,0,195.00,-2.94,2.16,8.55,9.30
195.000,0,195.00,-3.25,2.37,9.10,9.95
195.000,0,195.00,-3.64,2.47,9.96,10.90
195.000,0,195.00,-4.17,2.29,11.10,12.10
195.000,0,195.00,-4.73,1.78,12.50,13.50
195.000,0,195.00,-5.12,1.20,13.80,14.80
195.000,0,195.00,-5.30,0.83,14.60,15.50
195.000,0,195.00,-5.42,0.78,14.90,15.90
195.000,0,195.00,-5.54,0.91,15.10,16.10
195.000,0,195.00,-5.75,0.89,15.20,16.30
195.000,0,195.00,-6.01,0.98,16.00,17.10
195.000,0,195.00,-6.34,0.55,15.70,16.90
195.000,0,195.00,-6.50,-0.37,14.80,16.20
195.000,0,195.00,-6.37,-0.96,14.00,15.40
195.000,0,195.00,-6.08,-1.17,13.20,14.60
195.000,0,195.00,-5.67,-1.03,13.00,14.20
195.000,0,195.00,-5.23,-0.85,13.00,14.10
195.000,0,195.00,-4.81,-1.06,12.60,13.50
195.000,0,195.00,-4.47,-1.45,12.10,13.00
195.000,0,195.00,-4.14,-1.74,11.70,12.60
195.000,0,195.00,-3.76,-1.86,11.20,12.00
195.000,0,195.00,-3.36,-1.93,10.40,11.10
195.000,0,195.00,-3.04,-1.93,9.41,10.10
195.000,0,195.00,-2.77,-1.89,8.25,8.91
195.000,0,195.00,-2.53,-1.82,7.04,7.70
195.000,0,195.00,-2.34,-1.73,5.98,6.65
195.000,0,195.00,-2.21,-1.59,5.12,5.80
195.000,0,195.00,-2.14,-1.40,4.49,5.17
195.000,0,195.00,-2.06,-1.14,4.08,4.71
196.000,1,196.00,-2.07,-0.82,3.85,4.45
196.000,0,196.00,-2.12,-0.47,3.78,4.36
196.000,0,196.00,-2.26,-0.16,3.90,4.51
196.000,0,196.00,-2.50,0.08,4.18,4.87
196.000,0,196.00,-2.77,0.31,4.49,5.28
196.000,0,196.00,-3.01,0.58,4.96,5.83
196.000,0,196.00,-3.27,0.83,5.67,6.59
196.000,0,196.00,-3.59,0.96,6.60,7.57
196.000,0,196.00,-3.98,0.97,7.56,8.60
196.000,0,196.00,-4.38,0.88,8.52,9.62
196.000,0,196.00,-4.70,0.77,9.49,10.60
196.000,0,196.00,-4.83,0.64,10.30,11.40
196.000,0,196.00,-4.81,0.50,10.90,11.90
196.000,0,196.00,-4.72,0.40,11.20,12.20
196.000,0,196.00,-4.65,0.35,11.30,12.20
196.000,0,196.00,-4.67,0.36,11.20,12.10
196.000,0,196.00,-4.65,0.45,11.10,12.00
196.000,0,196.00,-4.50,0.62,10.90,11.80
196.000,0,196.00,-4.27,0.82,10.70,11.60
196.000,0,196.00,-4.00,1.02,10.40,11.20
196.000,0,196.00,-3.65,1.31,9.97,10.70
196.000,0,196.00,-3.25,1.64,9.64,10.30
196.000,0,196.00,-2.86,1.97,9.31,9.93
196.000,0,196.00,-2.59,2.25,9.05,9.67
196.000,0,196.00,-2.47,2.51,8.92,9.59
196.000,0,196.00,-2.46,2.73,8.89,9.62
196.000,0,196.00,-2.48,2.93,9.00,9.78
196.000,0,196.00,-2.56,3.04,9.17,9.99
196.000,0,196.00,-2.69,3.04,9.33,10.20
196.000,0,196.00,-2.80,2.99,9.55,10.40
196.000,0,196.00,-3.01,2.85,9.83,10.70
196.000,0,196.00,-3.34,2.60,10.20,11.00
196.000,0,196.00,-3.72,2.30,10.50,11.40
196.000,0,196.00,-4.11,2.01,10.80,11.70
196.000,0,196.00,-4.42,1.72,10.90,11.90
196.000,0,196.00,-4.58,1.47,10.90,11.90
196.000,0,196.00,-4.60,1.32,10.70,11.70
196.000,0,196.00,-4.49,1.27,10.40,11.40
196.000,0,196.00,-4.38,1.22,10.10,11.10
196.000,0,196.00,-4.32,1.16,9.66,10.60
196.000,0,196.00,-4.35,1.09,9.23,10.30
196.000,0,196.00,-4.48,1.05,8.75,9.89
196.000,0,196.00,-4.68,1.08,8.35,9.63
196.000,0,196.00,-4.89,1.17,8.04,9.48
196.000,0,196.00,-5.07,1.27,7.79,9.38
196.000,0,196.00,-5.18,1.36,7.59,9.29
196.000,0,196.00,-5.24,1.45,7.43,9.21
196.000,0,196.00,-5.37,1.60,7.23,9.15
196.000,0,196.00,-5.42,1.79,7.05,9.07
196.000,0,196.00,-5.40,1.96,6.93,9.00
196.000,0,196.00,-5.35,2.13,6.80,8.90
196.000,0,196.00,-5.23,2.24,6.67,8.77
196.000,0,196.00,-5.12,2.38,6.59,8.68
196.000,0,196.00,-5.01,2.48,6.55,8.61
196.000,0,196.00,-4.86,2.58,6.55,8.56
196.000,0,196.00,-4.66,2.67,6.52,8.45
196.000,0,196.00,-4.45,2.76,6.41,8.28
196.000,0,196.00,-4.25,2.84,6.28,8.10
196.000,0,196.00,-4.02,2.93,6.17,7.93
196.000,0,196.00,-3.78,3.06,6.06,7.77
196.000,0,196.00,-3.51,3.20,5.97,7.63
196.000,0,196.00,-3.28,3.34,5.93,7.55
196.000,0,196.00,-3.11,3.46,5.86,7.48
196.000,0,196.00,-3.02,3.60,5.87,7.52
196.000,0,196.00,-3.04,3.83,6.07,7.80
196.000,0,196.00,-3.21,4.06,6.48,8.29
196.000,0,196.00,-3.53,4.22,7.11,8.99
196.000,0,196.00,-3.97,4.30,7.83,9.77
196.000,0,196.00,-4.50,4.36,8.54,10.60
196.000,0,196.00,-4.99,4.43,9.18,11.40
196.000,0,196.00,-5.33,4.50,9.66,11.90
196.000,0,196.00,-5.52,4.56,9.96,12.30
196.000,0,196.00,-5.60,4.58,10.20,12.50
196.000,0,196.00,-5.57,4.53,10.30,12.50
196.000,0,196.00,-5.49,4.41,10.20,12.40
196.000,0,196.00,-5.33,4.25,10.10,12.20
196.000,0,196.00,-5.13,4.06,9.97,11.90
196.000,0,196.00,-4.94,3.85,9.79,11.60
196.000,0,196.00,-4.75,3.60,9.58,11.30
196.000,0,196.00,-4.60,3.35,9.33,10.90
196.000,0,196.00,-4.43,3.13,9.08,10.60
196.000,0,196.00,-4.23,2.98,8.83,10.20
196.000,0,196.00,-4.05,2.88,8.66,9.98
196.000,0,196.00,-3.89,2.79,8.51,9.77
196.000,0,196.00,-3.76,2.65,8.43,9.61
196.000,0,196.00,-3.66,2.47,8.35,9.45
196.000,0,196.00,-3.57,2.31,8.29,9.32
196.000,0,196.00,-3.43,2.24,8.29,9.24
196.000,0,196.00,-3.35,2.22,8.37,9.28
196.000,0,196.00,-3.35,2.20,8.47,9.38
196.000,0,196.00,-3.42,2.14,8.65,9.54
196.000,0,196.00,-3.58,2.02,8.88,9.79
196.000,0,196.00,-3.80,1.90,9.09,10.00
196.000,0,196.00,-4.03,1.85,9.19,10.20
196.000,0,196.00,-4.23,1.88,9.19,10.30
196.000,0,196.00,-4.39,1.97,9.13,10.30
196.000,0,196.00,-4.54,2.09,9.05,10.30
196.000,0,196.00,-4.73,2.23,8.96,10.40
196.000,0,196.00,-5.04,2.34,9.01,10.60
196.000,0,196.00,-5.38,2.41,9.15,10.90
196.000,0,196.00,-5.68,2.47,9.36,11.20
197.000,1,197.00,-5.89,2.47,9.63,11.60
197.000,0,197.00,-6.04,2.46,9.81,11.80
197.000,0,197.00,-6.11,2.42,9.87,11.90
197.000,0,197.00,-6.05,2.40,9.76,11.70
197.000,0,197.00,-5.85,2.43,9.46,11.40
197.000,0,197.00,-5.56,2.55,8.98,10.90
197.000,0,197.00,-5.24,2.66,8.42,10.30
197.000,0,197.00,-4.93,2.78,7.88,9.70
197.000,0,197.00,-4.62,2.87,7.39,9.18
197.000,0,197.00,-4.40,2.94,7.00,8.78
197.000,0,197.00,-4.27,3.01,6.78,8.56
197.000,0,197.00,-4.20,3.03,6.71,8.48
197.000,0,197.00,-4.19,3.02,6.80,8.54
197.000,0,197.00,-4.25,2.94,6.99,8.69
197.000,0,197.00,-4.34,2.76,7.22,8.86
197.000,0,197.00,-4.41,2.56,7.42,9.00
197.000,0,197.00,-4.48,2.39,7.55,9.10
197.000,0,197.00,-4.51,2.31,7.68,9.20
197.000,0,197.00,-4.51,2.27,7.77,9.26
197.000,0,197.00,-4.51,2.25,7.79,9.28
197.000,0,197.00,-4.51,2.25,7.77,9.26
197.000,0,197.00,-4.53,2.24,7.77,9.27
197.000,0,197.00,-4.59,2.24,7.79,9.32
197.000,0,197.00,-4.67,2.25,7.80,9.36
197.000,0,197.00,-4.79,2.28,7.78,9.42
197.000,0,197.00,-5.00,2.40,7.81,9.58
197.000,0,197.00,-5.24,2.57,7.90,9.82
197.000,0,197.00,-5.43,2.79,8.00,10.10
197.000,0,197.00,-5.60,3.01,8.10,10.30
197.000,0,197.00,-5.61,3.09,8.14,10.40
197.000,0,197.00,-5.57,3.06,8.06,10.30
197.000,0,197.00,-5.49,3.00,7.91,10.10
197.000,0,197.00,-5.42,2.98,7.69,9.87
197.000,0,197.00,-5.35,3.05,7.49,9.70
197.000,0,197.00,-5.30,3.12,7.31,9.55
197.000,0,197.00,-5.27,3.21,7.20,9.48
197.000,0,197.00,-5.28,3.25,7.18,9.49
197.000,0,197.00,-5.31,3.25,7.22,9.54
197.000,0,197.00,-5.34,3.19,7.33,9.61
197.000,0,197.00,-5.32,3.06,7.47,9.66
197.000,0,197.00,-5.27,2.90,7.57,9.67
197.000,0,197.00,-5.23,2.76,7.61,9.63
197.000,0,197.00,-5.18,2.66,7.65,9.61
197.000,0,197.00,-5.10,2.60,7.64,9.55
197.000,0,197.00,-4.96,2.56,7.57,9.41
197.000,0,197.00,-4.82,2.53,7.48,9.25
197.000,0,197.00,-4.67,2.49,7.32,9.03
197.000,0,197.00,-4.50,2.47,7.16,8.81
197.000,0,197.00,-4.32,2.46,7.00,8.59
197.000,0,197.00,-4.16,2.41,6.87,8.38
197.000,0,197.00,-4.01,2.36,6.76,8.20
197.000,0,197.00,-3.92,2.33,6.71,8.11
197.000,0,197.00,-3.87,2.31,6.74,8.11
197.000,0,197.00,-3.87,2.30,6.84,8.19
197.000,0,197.00,-3.88,2.27,6.97,8.30
197.000,0,197.00,-3.88,2.26,7.16,8.46
197.000,0,197.00,-3.89,2.23,7.38,8.64
197.000,0,197.00,-3.88,2.21,7.56,8.79
197.000,0,197.00,-3.84,2.18,7.73,8.90
197.000,0,197.00,-3.85,2.16,7.86,9.02
197.000,0,197.00,-3.93,2.16,8.04,9.21
197.000,0,197.00,-4.03,2.18,8.29,9.47
197.000,0,197.00,-4.14,2.18,8.56,9.75
197.000,0,197.00,-4.27,2.20,8.78,10.00
197.000,0,197.00,-4.38,2.24,8.97,10.20
197.000,0,197.00,-4.42,2.29,9.11,10.40
197.000,0,197.00,-4.40,2.37,9.23,10.50
197.000,0,197.00,-4.36,2.42,9.24,10.50
197.000,0,197.00,-4.33,2.48,9.21,10.50
197.000,0,197.00,-4.34,2.57,9.18,10.50
197.000,0,197.00,-4.35,2.65,9.15,10.50
197.000,0,197.00,-4.38,2.74,9.12,10.50
197.000,0,197.00,-4.48,2.88,9.12,10.60
197.000,0,197.00,-4.59,3.01,9.17,10.70
197.000,0,197.00,-4.70,3.09,9.30,10.90
197.000,0,197.00,-4.82,3.11,9.40,11.00
197.000,0,197.00,-4.93,3.12,9.43,11.10
